City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Okhotsk,RU,2022-04-04 00:56:47,59.3833,143.3,23.77,86,100,14.97
113,Geraldton,AU,2022-04-04 00:56:48,-28.7667,114.6,73.81,78,100,18.41
114,Hamilton,US,2022-04-04 00:56:48,39.1834,-84.5333,50.88,56,47,3.2
115,Atuona,PF,2022-04-04 00:47:20,-9.8,-139.0333,79.47,76,4,21.18
116,Porto Santo,PT,2022-04-04 00:56:48,33.072,-16.3415,59.38,58,40,25.32
117,Khatanga,RU,2022-04-04 00:56:49,71.9667,102.5,-20.81,100,92,2.75
118,Gamba,GA,2022-04-04 00:56:49,-2.65,10.0,76.44,94,97,1.32
119,Los Llanos De Aridane,ES,2022-04-04 00:56:49,28.6585,-17.9182,55.15,90,0,9.22
120,Pascagoula,US,2022-04-04 00:56:50,30.3658,-88.5561,69.42,76,0,6.11
121,Padang,ID,2022-04-04 00:56:50,-0.9492,100.3543,75.25,70,5,3.18
122,Tutoia,BR,2022-04-04 00:56:50,-2.7619,-42.2744,76.96,91,100,6.2
123,Soddy-Daisy,US,2022-04-04 00:56:51,35.2359,-85.1908,57.02,42,9,4.43
124,Sidney,AU,2022-04-04 00:56:26,-33.8679,151.2073,78.58,42,0,10.36
125,Halifax,CA,2022-04-04 00:53:58,44.6453,-63.5724,38.68,76,61,3.44
126,Khandyga,RU,2022-04-04 00:56:51,62.6667,135.6,21.76,81,100,4.27
127,Pangnirtung,CA,2022-04-04 00:56:52,66.1451,-65.7125,23.59,92,100,1.14
128,Bengkulu,ID,2022-04-04 00:56:52,-3.8004,102.2655,78.84,72,36,3.02
129,Neyshabur,IR,2022-04-04 00:56:52,36.2133,58.7958,62.94,21,0,1.97
130,Butaritari,KI,2022-04-04 00:56:53,3.0707,172.7902,81.39,72,97,11.92
131,Port Elizabeth,ZA,2022-04-04 00:47:37,-33.918,25.5701,62.31,98,20,6.91
132,Bethel,US,2022-04-04 00:56:53,41.3712,-73.414,41.36,90,97,4.0
133,Paamiut,GL,2022-04-04 00:56:53,61.994,-49.6678,36.12,82,100,7.2
134,Ginir,ET,2022-04-04 00:56:54,7.1333,40.7,57.27,61,100,4.97
135,Churapcha,RU,2022-04-04 00:56:54,62.0025,132.4325,21.6,90,100,3.33
136,Pitimbu,BR,2022-04-04 00:55:06,-7.4706,-34.8086,75.79,79,67,10.89
137,Ternate,ID,2022-04-04 00:57:54,0.8,127.4,82.51,72,90,1.45
138,Kalashnikovo,RU,2022-04-04 00:57:55,57.2824,35.2262,19.89,97,28,2.98
139,Appleton,US,2022-04-04 00:56:53,44.2619,-88.4154,41.32,82,100,10.36
140,Acarau,BR,2022-04-04 00:57:55,-2.8856,-40.12,77.52,90,92,9.28
141,Port Blair,IN,2022-04-04 00:57:55,11.6667,92.75,80.69,77,99,7.31
142,Washougal,US,2022-04-04 00:57:56,45.5826,-122.3534,55.71,70,100,10.0
143,Beringovskiy,RU,2022-04-04 00:57:56,63.05,179.3167,2.07,74,81,18.23
144,Cherskiy,RU,2022-04-04 00:57:56,68.75,161.3,0.91,86,100,3.24
145,Pak Phanang,TH,2022-04-04 00:57:57,8.3511,100.202,77.02,94,100,3.69
146,Arraial Do Cabo,BR,2022-04-04 00:57:57,-22.9661,-42.0278,76.57,87,3,4.38
147,San Quintin,MX,2022-04-04 00:57:57,30.4833,-115.95,61.14,69,0,13.78
148,Provideniya,RU,2022-04-04 00:57:58,64.3833,-173.3,10.51,67,0,15.99
149,Menzelinsk,RU,2022-04-04 00:57:58,55.7271,53.1026,31.42,93,85,5.64
