City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Dikson,RU,73.51,80.55,21.7,95,100,14.18,light snow
124,Wynyard,AU,-41.00,145.72,53.01,91,67,4.43,broken clouds
125,Riyadh,SA,24.69,46.72,91.54,21,92,8.25,overcast clouds
126,Luderitz,NA,-26.65,15.16,64.42,61,0,31.61,clear sky
127,Airai,TL,-8.93,125.41,62.1,93,100,2.35,heavy intensity rain
128,Albany,US,42.60,-73.97,62.29,24,1,5.99,clear sky
129,Saint George,US,37.10,-113.58,62.44,21,0,1.01,clear sky
130,Norman Wells,CA,65.28,-126.83,-0.36,65,20,5.75,few clouds
131,Faanui,PF,-16.48,-151.75,81.86,72,8,17.67,clear sky
132,Tucuman,AR,-26.82,-65.22,68.0,56,75,2.3,broken clouds
133,Davila,PH,18.47,120.58,80.58,79,71,21.72,broken clouds
134,Marzuq,YE,14.40,46.47,75.92,32,4,10.78,clear sky
135,Broome,US,42.25,-75.83,60.89,34,7,8.01,clear sky
136,Mandurah,AU,-32.55,115.70,64.9,80,0,8.68,clear sky
137,Meulaboh,ID,4.14,96.13,78.91,87,100,2.55,light rain
138,Saint-Georges,GD,12.06,-61.75,83.88,74,20,24.16,few clouds
139,Mazamari,PE,-11.33,-74.53,75.22,88,98,2.17,light rain
140,Asfi,MA,32.30,-9.24,71.53,55,2,25.34,clear sky
141,Mnogovershinnyy,RU,53.94,139.92,19.31,87,63,2.57,broken clouds
142,Hilo,US,19.73,-155.09,72.28,95,72,4.0,broken clouds
143,Dudinka,RU,69.41,86.18,32.45,79,100,16.2,overcast clouds
144,Pacific Grove,US,36.62,-121.92,55.02,94,100,4.61,mist
145,Sitka,US,57.05,-135.33,37.26,65,1,1.52,clear sky
146,Katsuura,JP,35.13,140.30,50.97,90,100,27.0,light rain
147,Touros,BR,-5.20,-35.46,87.89,59,52,11.63,broken clouds
148,Nanortalik,GL,60.14,-45.24,26.98,70,100,12.21,overcast clouds
149,Santa Vitoria Do Palmar,BR,-33.52,-53.37,69.21,55,78,9.66,broken clouds
150,Berlevag,NO,70.86,29.09,33.6,97,86,10.94,light snow
151,Jacareacanga,BR,-6.22,-57.75,81.99,87,100,2.98,overcast clouds
152,Tura,IN,25.52,90.22,76.23,85,1,10.85,clear sky
153,Pevek,RU,69.70,170.31,5.9,93,52,0.98,broken clouds
154,Bereda,ES,43.27,-7.54,76.41,44,1,2.93,clear sky
155,Vestmanna,FO,62.16,-7.17,47.32,100,100,13.8,overcast clouds
156,Mayumba,GA,-3.43,10.66,81.5,76,100,3.58,light rain
157,Richards Bay,ZA,-28.78,32.04,71.22,88,43,21.63,light rain
158,Saskylakh,RU,71.92,114.08,-18.78,100,40,4.14,scattered clouds
159,Marion,US,39.77,-86.16,64.33,35,0,12.66,clear sky
160,Nikolskoye,RU,59.70,30.79,42.69,88,100,8.32,overcast clouds
161,Tagusao,PH,9.19,117.81,79.68,81,60,1.32,broken clouds
162,Shache,CN,38.42,77.24,66.7,19,7,7.11,clear sky
163,Salalah,OM,17.02,54.09,80.62,65,0,5.77,clear sky
164,San Patricio,US,28.02,-97.52,77.09,89,100,8.12,overcast clouds
165,Cidreira,BR,-30.18,-50.21,63.9,70,100,8.08,overcast clouds
166,Klaksvik,FO,62.23,-6.59,49.12,98,100,15.32,overcast clouds
167,Lafayette,US,30.23,-92.07,77.92,86,81,5.99,broken clouds
168,Chuy,UY,-33.70,-53.46,68.52,57,80,10.45,broken clouds
169,Ust-Tsilma,RU,65.44,52.15,25.61,81,100,7.61,overcast clouds
170,Kribi,CM,2.95,9.92,81.79,75,56,9.1,broken clouds
171,Esperance,AU,-33.87,121.90,60.42,74,2,13.89,clear sky
172,Aojiang,CN,22.94,116.04,68.38,74,74,19.19,broken clouds
173,Kloulklubed,PW,7.04,134.26,77.5,82,100,7.83,overcast clouds
174,Komyshnya,UA,50.19,33.68,55.38,59,67,7.11,broken clouds
175,Antalaha,MG,-14.90,50.28,78.71,84,90,9.17,light rain
176,Bundaberg,AU,-24.85,152.35,66.22,89,45,3.0,scattered clouds
177,Suntar,RU,62.14,117.63,20.93,91,99,9.06,overcast clouds
178,Te Karaka,NZ,-38.47,177.87,48.7,98,18,3.11,few clouds
179,Obihiro,JP,42.92,143.20,35.35,90,98,0.31,overcast clouds
180,Corner Brook,CA,48.97,-57.95,47.97,59,70,6.4,broken clouds
181,Ostrovnoy,RU,68.05,39.51,30.97,93,97,7.2,overcast clouds
182,Yatou,CN,37.15,122.38,44.91,47,60,10.31,broken clouds
183,Moussoro,TD,13.64,16.49,101.28,17,100,11.59,overcast clouds
184,Waingapu,ID,-9.66,120.26,80.02,84,76,3.47,broken clouds
185,Lamas,PE,-6.42,-76.53,73.58,90,87,1.34,overcast clouds
186,Barranca,PE,-10.75,-77.77,69.67,73,70,10.51,broken clouds
187,Avera,US,33.19,-82.53,71.55,32,17,14.23,few clouds
188,Akashi,JP,34.63,134.98,55.44,75,100,15.14,overcast clouds
189,Khandbari,NP,27.37,87.20,73.58,30,31,3.62,scattered clouds
190,Sakakah,SA,29.97,40.21,76.62,15,0,6.91,clear sky
191,Hobart,AU,-42.88,147.33,55.26,70,100,6.91,overcast clouds
192,Hithadhoo,MV,-0.60,73.08,83.95,64,9,2.39,clear sky
193,Vila Franca Do Campo,PT,37.72,-25.43,63.01,86,48,13.4,light rain
194,Maraa,BR,-1.83,-65.37,78.84,89,99,1.86,overcast clouds
195,Tuktoyaktuk,CA,69.45,-133.04,-14.8,76,20,0.0,mist
196,Nova Granada,BR,-20.53,-49.31,75.45,55,21,7.9,few clouds
197,Soyo,AO,-6.13,12.37,78.12,87,100,5.37,moderate rain
198,Burnie,AU,-41.07,145.92,54.19,89,73,4.88,broken clouds
199,Smithers,CA,54.78,-127.17,31.21,50,74,2.39,broken clouds
200,Corinth,GR,37.94,22.96,69.42,38,68,4.47,broken clouds
201,Ca Mau,VN,9.18,105.15,80.67,84,90,3.69,overcast clouds
202,Kalabo,ZM,-14.97,22.68,77.61,62,80,1.95,broken clouds
203,Ketchikan,US,55.34,-131.65,38.84,49,11,3.65,few clouds
204,Inhambane,MZ,-23.86,35.38,79.93,85,96,12.97,overcast clouds
205,Ciro Marina,IT,39.37,17.13,62.31,57,64,6.69,broken clouds
206,Abu Dhabi,AE,24.47,54.37,91.51,60,0,6.91,clear sky
207,Maxixe,MZ,-23.86,35.35,79.61,85,94,12.06,overcast clouds
208,Taraz,KZ,42.90,71.37,61.21,63,1,6.71,clear sky
209,Dauriya,RU,49.93,116.87,39.56,52,74,17.18,broken clouds
210,Belz,FR,47.68,-3.17,73.02,58,9,5.99,clear sky
211,Khorixas,NA,-20.37,14.97,84.52,24,0,12.1,clear sky
212,Loreto,MX,22.27,-101.97,73.22,21,100,7.78,overcast clouds
213,Dunedin,NZ,-45.87,170.50,56.8,72,100,1.01,overcast clouds
214,Anadyr,RU,64.75,177.48,25.0,85,100,20.02,overcast clouds
215,Palmer,US,42.16,-72.33,63.86,25,4,5.01,clear sky
216,Melioratorov,RU,57.21,65.61,68.38,32,20,11.18,few clouds
217,Le Port,RE,-20.94,55.29,78.8,68,77,6.93,broken clouds
218,Mikhaylovka,RU,50.06,43.24,53.71,61,51,6.42,broken clouds
219,Gizo,SB,-8.10,156.84,80.29,80,100,8.19,light rain
220,Quatre Cocos,MU,-20.21,57.76,77.11,80,30,17.76,light rain
221,Awbari,LY,26.59,12.78,91.29,11,0,10.74,clear sky
222,Poum,NC,-20.23,164.02,75.51,79,54,6.62,broken clouds
223,Sibut,CF,5.72,19.07,86.85,50,100,6.38,overcast clouds
224,Kieta,PG,-6.22,155.63,78.93,83,100,2.57,overcast clouds
225,Tevaitoa,PF,-16.78,-151.50,81.52,72,14,16.46,light rain
226,Beroroha,MG,-21.67,45.17,84.52,44,55,6.15,broken clouds
227,Axim,GH,4.87,-2.24,83.86,72,98,9.73,light rain
228,Sheboygan,US,43.73,-87.93,41.32,52,84,11.99,broken clouds
229,Ngorongoro,TZ,-3.24,35.49,59.85,56,82,5.61,broken clouds
230,Lalganj,IN,25.87,85.18,94.95,11,34,7.11,scattered clouds
231,Mujiayingzi,CN,42.12,118.78,45.93,18,0,11.34,clear sky
232,Evensk,RU,61.95,159.23,24.19,96,100,4.59,light snow
233,Ossora,RU,59.24,163.07,17.83,87,100,5.41,overcast clouds
234,Ust-Uda,RU,54.17,103.03,32.31,84,100,1.1,overcast clouds
